"Information: This spreadsheet contains a list of published ZooMS markers for different taxa. Note this is a ‘living’ document and will continue to be updated as new ZooMS data becomes available. Reference to the original publication reporting the marker can be found in the ‘Reference’ column and in the ‘Reference list’ tab. The nomenclature of markers include those proposed in Brown, S., Douka, K., Collins, M. & Richter, K. K. On the standardization of ZooMS nomenclature. J. Proteomics 104041 (2020). You are welcome to comment on this spreadsheet and share as widely as you like. Please contact Sam Presslee with any questions or comments: https://www.york.ac.uk/archaeology/centres-facilities/bioarch/facilities/zooms/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note about fish collagen: Some species contain an ɑ3 chain in addition to ɑ1 and ɑ2. This trait is unique but not ubiquitous to fishes. Fish collagen also contains slightly higher concentrations of R and K residues, which means that peptides homologous to mammalian peptides may be two tryptic peptides in fishes and one in mammals. For example, peptide ɑ2 793 (793 - 816) in black rat, Rattus rattus, is positioned at m/z 2143.1. In cod, this sequence is two tryptic peptides of m/z 1186 (ɑ2 793 - 806) and m/z 898 (ɑ2 807 - 816) (Virginia Harvey)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,peptide position,peptide position >,COL1ɑ1 508 - 519,COL1ɑ1 520 - 531,COL1ɑ3 839 - 847,COL1ɑ2 238 - 252,COL1ɑ1 688 - 704,COL1ɑ1 688 - 704,COL1ɑ3 746 - 762,COL1ɑ1 753 - 769,COL1ɑ2 889 -905,COL1ɑ2 502 - 519,COL1ɑ2 688 - 704,COL1ɑ2 907 - 924,COL1ɑ2 793 - 806,COL1ɑ2 807 - 816,COL1ɑ1 817 - 836,COL1ɑ1 817 - 836,COL1ɑ2 905-924,COL1ɑ2 905-924,COL1ɑ2 658 - 687,COL1ɑ2 625 - 648,COL1ɑ3 709 - 732,COL1ɑ2 713 - 736,COL1ɑ2 746 - 775,COL1ɑ1 934 - 963,COL1ɑ1 934 - 963,COL1ɑ1 1111 - 1140,COL1ɑ2 674 - 706,COL1ɑ2 757 - 789,COL1ɑ2 757 - 789,,,
Salmoniformes,Salmonidae,Chinook salmon,Oncorhynchus tshawytscha,,996,,,,,,,,,,,,,,,1874,1890,,,2202,,2456,,,2699,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Sockeye salmon,Oncorhynchus nerka,,996,,,,,,,,,,,,,,,1890,,,,2202,2122,,,,2669,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Coho salmon,Oncorhynchus kisutch,,996,,,,,,,,,,,,,,,1874,1890,,,2202,,2456,,,2669,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Pink salmon,Oncorhynchus gorbuscha,,996,,,,,,,,,,,,,,,1874,1890,,,2142,2152,,,,2669,2881,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Chum salmon,Oncorhynchus keta,,996,,,,,,,,,,,,,,,1874,1890,,,2202,2122,,,,2669,2922,2933,2949,,Korzow Richter et al 2020,
Salmoniformes,Salmonidae,Rainbow trout,Oncorhynchus mykiss,,996,,,,,,,,,,,,,,,1874,,,,2202,2148,2456,,,2669,2922,2933,2949,,Korzow Richter et al 2020,
Anguilliformes,Anguillidae,European eel,Anguilla anguilla,,,908,,,,1457,1443,1457,1580,1536,,,,,,,,2480,,,,,,,,,,,,Buckley et al 2022,
Anguilliformes,Congridae,European conger,Conger conger,,,870,,,,1445,1514,1467,1580,1536,,,,,,,,2457,,,,,,,,,,,,Buckley et al 2022,
Clupeiformes,Clupeidae,Atlantic herring,Clupea harengus,,,930,,,,1415,1471,1554,1594,1614,,,,,,,,2470,,,,,,,,,,,,Buckley et al 2022,
Clupeiformes,Clupeidae,European pilchard,Sardina pilchardus,,,930,,,,1429,1471,1554,1566,1614,,,,,,,,2508,,,,,,,,,,,,Buckley et al 2022,
Cypriniformes,Cyprinidae,Crucian carp,Carasius carasius,,,910,,,,1429,1443,1476,1534,1545,,,,,,,,2566,,,,,,,,,,,,Buckley et al 2022,
Cypriniformes,Cyprinidae,Common dace,Leuciscus leuciscus,,,910,,,,1429,1443,1476,1564,1545,,,,,,,,,,,,,,,,,,,,Buckley et al 2022,
Cypriniformes,Cyprinidae,Common rudd,Scardinius erythropthalmus,,,910,,,,1429,1443,1476,1552,1537,,,,,,,,2622,,,,,,,,,,,,Buckley et al 2022,
Cypriniformes,Cyprinidae,European chub,Squalius cephalus,,,894,,,,1429,1443,,1566,1534,,,,,,,,2566,,,,,,,,,,,,Buckley et al 2022,
Esociformes,Esocidae,Northern pike,Esox lucius,,,886,,,,1459,1492,1536,1568,1545,,,,,,,,2465,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Silvery pout,Gadiculus argenteus,,,900,,,,1453,1469,1536,1552,1567,,,,,,,,2386,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Atlantic cod,Gadus morhua,,,900,,,,1461,1469,1558,1585,1560,,,,,,,,2470,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Haddock,Melanogrammus aeglefinus,,,900,,,,1492,1469,1558,1585,1560,,,,,,,,2454,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Whiting,Merlangius merlangus,,,900,,,,1437,1469,1558,1585,1484,,,,,,,,2454,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Blue whiting,Micromesistius poutassou,,,932,,,,1483,1469,1556,1578,1542,,,,,,,,2346,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Pollack,Pollachius pollachius,,,900,,,,1455,1478,1558,1574,1522,,,,,,,,2470,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Saithe,Pollachius virens,,,900,,,,1455,1478,1558,1574,1522,,,,,,,,2470,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Tadpole fish,Raniceps raninus,,,900,,,,1445,1459,1562,1615,1522,,,,,,,,2440,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Norway pout,Trisopterus esmarkii,,,900,,,,1482,1469,1558,1578,1581,,,,,,,,2458,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Pouting,Trisopterus luscus,,,900,,,,1506,1469,1558,1578,1581,,,,,,,,2500,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Gadidae,Poor cod,Trisopterus minutus,,,900,,,,1482,1469,1558,1578,1581,,,,,,,,2500,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Lotidae,Tusk/Cusk,Brosme brosme,,,900,,,,,1469,1558,1527,1563,,,,,,,,2482,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Lotidae,Fourbeard rockling,Enchelyopus cimbrius,,,926,,,,1502,1469,1508,1584,1547,,,,,,,,2436,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Lotidae,Three-bearded rockling,Gaidropsarus vulgaris,,,926,,,,1483,1469,1558,1584,1567,,,,,,,,2428,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Lotidae,Burbot,Lota lota,,,900,,,,1479,1469,1558,1584,1595,,,,,,,,2470,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Lotidae,Blue ling,Molva dypterygia,,,900,,,,,1469,1600,1584,1553,,,,,,,,2402,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Lotidae,Ling,Molva molva,,,900,,,,1528,1469,1547,1584,1567,,,,,,,,2416,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Macrouridae,Hollowsnout grenadier,Coelorinchus coelorhincus,,,900,,,,1509,1469,1564,1584,1575,,,,,,,,2418,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Merlucciidae,Hake,Merluccius merluccius,,,900,,,,1455,1443,1614,1527,1572,,,,,,,,2466,,,,,,,,,,,,Buckley et al 2022,
Gadiformes,Phycidae,Greater forkbeard,Phycis blennoides,,,900,,,,1496,1443,1524,1584,1590,,,,,,,,2460,,,,,,,,,,,,Buckley et al 2022,
Lophiiformes,Lophiidae,Angler fish,Lophius piscatorius,,,950,,,,1455,1543,1598,1554,1618,,,,,,,,2432,,,,,,,,,,,,Buckley et al 2022,
Mugiliformes,Mugilidae,Flathead grey mullet,Mugil cephalus,,,952,,,,1445,1469,1558,1584,1534,,,,,,,,2472,,,,,,,,,,,,Buckley et al 2022,
Mugiliformes,Mugilidae,Thinlip mullet,Liza ramada,,,936,,,,1445,1469,1566,1582,1534,,,,,,,,2462,,,,,,,,,,,,Buckley et al 2022,
Osmeriformes,Osmeridae,European smelt,Osmerus eperlanus,,,890,,,,1393,1432,1558,1520,1485,,,,,,,,2483,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Bramidae,Atlanic pomfret,Brama brama,,,894,,,,1445,1469,1558,1550,1559,,,,,,,,2506,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Carangidae,Atlantic horse mackerel,Trachurus trachurus,,,908,,,,1445,1469,1524,1584,1467,,,,,,,,2428,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Labridae,Ballan wrasse,Labrus bergylta,,,910,,,,1455,1439,1500,1548,1572,,,,,,,,2326,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Moronidae,European seabass,Dicentrarchus labrax,,,894,,,,1459,1469,1510,1584,1533,,,,,,,,2470,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Mullidae,Surmullet/Striped red mullet,Mullus surmuletus,,,908,,,,1455,1443,1464,1532,1492,,,,,,,,2440,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Percidae,European perch,Perca fluviatilis,,,894,,,,1445,1443,1450,1529,1478,,,,,,,,2402,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Percidae,European pike perch,Sander lucioperca,,,900,,,,1450,1443,1462,1534,1476,,,,,,,,2428,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Scombridae,Atlantic mackerel,Scomber scombrus,,,952,,,,1455,1443,1558,1552,1508,,,,,,,,2504,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Sparidae,Bogue,Boops boops,,,908,,,,1445,1469,1558,1537,1533,,,,,,,,2500,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Sparidae,Common dentex,Dentex dentex,,,908,,,,1445,1469,1558,1554,1533,,,,,,,,2500,,,,,,,,,,,,Buckley et al 2022,
Perciformes,Sparidae,Striped seabream,Lithognathus mormyrus,,,938,,,,1445,1469,1558,1537,1533,,,,,,,,2500,,,,,,,,,,,,Buckley et al 2022,
